path,kind,classification,action,target,rationale
component feedback summary puretask - needs review.txt,txt,Archive,move_to_archive,docs/archive/raw/intake_txt/component feedback summary puretask - needs review.txt,intake or transient text artifact outside canonical docs
custom gpt sectiopn 2 final agent puretask - need review and analysis.txt,txt,Archive,move_to_archive,docs/archive/raw/intake_txt/custom gpt sectiopn 2 final agent puretask - need review and analysis.txt,intake or transient text artifact outside canonical docs
december content plan for puretask - needs review.txt,txt,Archive,move_to_archive,docs/archive/raw/intake_txt/december content plan for puretask - needs review.txt,intake or transient text artifact outside canonical docs
december content strat - puretask needs review.txt,txt,Archive,move_to_archive,docs/archive/raw/intake_txt/december content strat - puretask needs review.txt,intake or transient text artifact outside canonical docs
docs/ADMIN_DASHBOARD_FRONTEND.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/ADMIN_DASHBOARD_FRONTEND.md,legacy docs outside canonical/reference structure
docs/ADMIN_PORTAL_SETUP.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/ADMIN_PORTAL_SETUP.md,legacy docs outside canonical/reference structure
docs/ADVANCED_AUTH_GUIDE.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/ADVANCED_AUTH_GUIDE.md,legacy docs outside canonical/reference structure
docs/ALL_VERSIONS_STATUS.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/ALL_VERSIONS_STATUS.md,legacy docs outside canonical/reference structure
docs/DETAILED_IMPLEMENTATION_STEPS.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/DETAILED_IMPLEMENTATION_STEPS.md,legacy docs outside canonical/reference structure
docs/IMPLEMENTATION_GUIDE.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/IMPLEMENTATION_GUIDE.md,legacy docs outside canonical/reference structure
docs/JWT_AUTHENTICATION_GUIDE.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/JWT_AUTHENTICATION_GUIDE.md,legacy docs outside canonical/reference structure
docs/JWT_QUICK_REFERENCE.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/JWT_QUICK_REFERENCE.md,legacy docs outside canonical/reference structure
docs/N8N_API_CLIENT.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/N8N_API_CLIENT.md,legacy docs outside canonical/reference structure
docs/N8N_COMPLETE_CONFIG.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/N8N_COMPLETE_CONFIG.md,legacy docs outside canonical/reference structure
docs/N8N_ENV_CONFIG.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/N8N_ENV_CONFIG.md,legacy docs outside canonical/reference structure
docs/N8N_MCP_INTEGRATION.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/N8N_MCP_INTEGRATION.md,legacy docs outside canonical/reference structure
docs/N8N_WEBHOOK_SECRET.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/N8N_WEBHOOK_SECRET.md,legacy docs outside canonical/reference structure
docs/PRODUCTION_READINESS.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/PRODUCTION_READINESS.md,legacy docs outside canonical/reference structure
docs/PROJECT_REVIEW_AND_FORWARD_SUGGESTIONS.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/PROJECT_REVIEW_AND_FORWARD_SUGGESTIONS.md,legacy docs outside canonical/reference structure
docs/README.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/README.md,legacy docs outside canonical/reference structure
docs/STRIPE_TESTING.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/STRIPE_TESTING.md,legacy docs outside canonical/reference structure
docs/V1_COMPLETE_SUMMARY.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/V1_COMPLETE_SUMMARY.md,legacy docs outside canonical/reference structure
docs/V1_COMPLETION_SUMMARY.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/V1_COMPLETION_SUMMARY.md,legacy docs outside canonical/reference structure
docs/V1_ENABLED_FEATURES.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/V1_ENABLED_FEATURES.md,legacy docs outside canonical/reference structure
docs/V2_EXECUTION_COMPLETE.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/V2_EXECUTION_COMPLETE.md,legacy docs outside canonical/reference structure
docs/V2_EXECUTION_PLAN.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/V2_EXECUTION_PLAN.md,legacy docs outside canonical/reference structure
docs/V2_FEATURES_DETAILED_BREAKDOWN.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/V2_FEATURES_DETAILED_BREAKDOWN.md,legacy docs outside canonical/reference structure
docs/V3_COMPLETE_OVERVIEW.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/V3_COMPLETE_OVERVIEW.md,legacy docs outside canonical/reference structure
docs/V3_COMPLETE_SUMMARY.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/V3_COMPLETE_SUMMARY.md,legacy docs outside canonical/reference structure
docs/V3_DEPLOYMENT_COMPLETE.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/V3_DEPLOYMENT_COMPLETE.md,legacy docs outside canonical/reference structure
docs/V3_DEPLOYMENT_VERIFICATION.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/V3_DEPLOYMENT_VERIFICATION.md,legacy docs outside canonical/reference structure
docs/V3_EXECUTION_PLAN.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/V3_EXECUTION_PLAN.md,legacy docs outside canonical/reference structure
docs/V3_FEATURES_DETAILED_BREAKDOWN.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/V3_FEATURES_DETAILED_BREAKDOWN.md,legacy docs outside canonical/reference structure
docs/V3_FINAL_STATUS.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/V3_FINAL_STATUS.md,legacy docs outside canonical/reference structure
docs/V3_IMPLEMENTATION_COMPLETE.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/V3_IMPLEMENTATION_COMPLETE.md,legacy docs outside canonical/reference structure
docs/V3_NEXT_STEPS.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/V3_NEXT_STEPS.md,legacy docs outside canonical/reference structure
docs/V3_NEXT_STEPS_COMPLETE.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/V3_NEXT_STEPS_COMPLETE.md,legacy docs outside canonical/reference structure
docs/V4_CAPABILITIES_COMPLETE.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/V4_CAPABILITIES_COMPLETE.md,legacy docs outside canonical/reference structure
docs/V4_DEPLOYMENT_COMPLETE.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/V4_DEPLOYMENT_COMPLETE.md,legacy docs outside canonical/reference structure
docs/V4_DEPLOYMENT_VERIFICATION.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/V4_DEPLOYMENT_VERIFICATION.md,legacy docs outside canonical/reference structure
docs/V4_IMPLEMENTATION_COMPLETE.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/V4_IMPLEMENTATION_COMPLETE.md,legacy docs outside canonical/reference structure
docs/V4_IMPLEMENTATION_PLAN.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/V4_IMPLEMENTATION_PLAN.md,legacy docs outside canonical/reference structure
docs/VERSION_FEATURE_BREAKDOWN.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/VERSION_FEATURE_BREAKDOWN.md,legacy docs outside canonical/reference structure
docs/_active/architecture/API_REFERENCE.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/_active/architecture/API_REFERENCE.md,legacy docs outside canonical/reference structure
docs/_active/architecture/ARCHITECTURE.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/_active/architecture/ARCHITECTURE.md,legacy docs outside canonical/reference structure
docs/_active/architecture/ARCHITECTURE_SUMMARY.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/_active/architecture/ARCHITECTURE_SUMMARY.md,legacy docs outside canonical/reference structure
docs/_active/architecture/CAPABILITIES.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/_active/architecture/CAPABILITIES.md,legacy docs outside canonical/reference structure
docs/_active/architecture/EVENT_SYSTEM_SPEC.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/_active/architecture/EVENT_SYSTEM_SPEC.md,legacy docs outside canonical/reference structure
docs/_active/architecture/PURETASK_MASTER_GUIDE.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/_active/architecture/PURETASK_MASTER_GUIDE.md,legacy docs outside canonical/reference structure
docs/_active/architecture/ROUTES_CATALOG.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/_active/architecture/ROUTES_CATALOG.md,legacy docs outside canonical/reference structure
docs/_active/architecture/SERVICES_CATALOG.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/_active/architecture/SERVICES_CATALOG.md,legacy docs outside canonical/reference structure
docs/_active/architecture/architecture-what-lives-where.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/_active/architecture/architecture-what-lives-where.md,legacy docs outside canonical/reference structure
docs/_active/deployment/DATABASE_SETUP.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/_active/deployment/DATABASE_SETUP.md,legacy docs outside canonical/reference structure
docs/_active/deployment/ENV_TEMPLATE.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/_active/deployment/ENV_TEMPLATE.md,legacy docs outside canonical/reference structure
docs/_active/deployment/NEON_SETUP_GUIDE.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/_active/deployment/NEON_SETUP_GUIDE.md,legacy docs outside canonical/reference structure
docs/_active/deployment/STAGING_ENVIRONMENT.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/_active/deployment/STAGING_ENVIRONMENT.md,legacy docs outside canonical/reference structure
docs/_active/operations/DEPLOYMENT_CHECKLIST.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/_active/operations/DEPLOYMENT_CHECKLIST.md,legacy docs outside canonical/reference structure
docs/_active/operations/N8N_SETUP_COMPLETE_CHECKLIST.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/_active/operations/N8N_SETUP_COMPLETE_CHECKLIST.md,legacy docs outside canonical/reference structure
docs/_active/operations/N8N_WORKFLOW_IMPLEMENTATION_GUIDE.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/_active/operations/N8N_WORKFLOW_IMPLEMENTATION_GUIDE.md,legacy docs outside canonical/reference structure
docs/_active/operations/NOTIFICATION_SERVICE_MIGRATION.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/_active/operations/NOTIFICATION_SERVICE_MIGRATION.md,legacy docs outside canonical/reference structure
docs/_active/operations/SECURITY_AUDIT_WORKFLOW_GUIDE.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/_active/operations/SECURITY_AUDIT_WORKFLOW_GUIDE.md,legacy docs outside canonical/reference structure
docs/_active/operations/WORKER_SCHEDULE.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/_active/operations/WORKER_SCHEDULE.md,legacy docs outside canonical/reference structure
docs/_active/operations/email-registry.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/_active/operations/email-registry.md,legacy docs outside canonical/reference structure
docs/_active/operations/n8n-universal-sender-workflow-spec.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/_active/operations/n8n-universal-sender-workflow-spec.md,legacy docs outside canonical/reference structure
docs/_archive/cleanup-2026-01-29/JWT_AUTHENTICATION_GUIDE.md,md,Archive,keep_archived,,already archived history
docs/_archive/cleanup-2026-01-29/N8N_MCP_INTEGRATION.md,md,Archive,keep_archived,,already archived history
docs/_archive/cleanup-2026-01-29/README.md,md,Archive,keep_archived,,already archived history
docs/_archive/cleanup-2026-01-29/SERVER_STARTUP_ISSUES_ANALYSIS.md,md,Archive,keep_archived,,already archived history
docs/_archive/cleanup-2026-01-29/STRIPE_TESTING.md,md,Archive,keep_archived,,already archived history
docs/_archive/cleanup-2026-01-29/TROUBLESHOOTING.md,md,Archive,keep_archived,,already archived history
docs/_archive/cleanup-2026-01-29/V1_COMPLETE_SUMMARY.md,md,Archive,keep_archived,,already archived history
docs/_archive/cleanup-2026-01-29/V2_EXECUTION_COMPLETE.md,md,Archive,keep_archived,,already archived history
docs/_archive/cleanup-2026-01-29/V2_EXECUTION_PLAN.md,md,Archive,keep_archived,,already archived history
docs/_archive/cleanup-2026-01-29/V3_COMPLETE_SUMMARY.md,md,Archive,keep_archived,,already archived history
docs/_archive/cleanup-2026-01-29/V3_DEPLOYMENT_COMPLETE.md,md,Archive,keep_archived,,already archived history
docs/_archive/cleanup-2026-01-29/V3_DEPLOYMENT_VERIFICATION.md,md,Archive,keep_archived,,already archived history
docs/_archive/cleanup-2026-01-29/V3_NEXT_STEPS.md,md,Archive,keep_archived,,already archived history
docs/_archive/cleanup-2026-01-29/V3_NEXT_STEPS_COMPLETE.md,md,Archive,keep_archived,,already archived history
docs/_archive/cleanup-2026-01-29/V4_DEPLOYMENT_COMPLETE.md,md,Archive,keep_archived,,already archived history
docs/_archive/cleanup-2026-01-29/V4_DEPLOYMENT_VERIFICATION.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-analyses/ANALYSIS_DOCUMENTS_COMPARISON.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-analyses/ANALYSIS_REPORT.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-analyses/ANALYSIS_REPORT_REVIEW.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-analyses/BACKEND_REVIEW_ANALYSIS.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-analyses/BEST_PRACTICES_AUDIT.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-analyses/BEST_PRACTICES_REVIEW.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-analyses/COMPLETE_ANALYSIS.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-analyses/CURRENT_SYSTEM_INVENTORY.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-analyses/INTEGRATION_TESTS_REVIEW.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-analyses/LINTING_REPORT.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-analyses/PROJECT_ANALYSIS_2025.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-analyses/PROJECT_COMPREHENSIVE_REVIEW.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-analyses/STATE_MACHINE_REVIEW.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-analyses/TEST_BEST_PRACTICES_REVIEW.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-analyses/V1_READINESS_ASSESSMENT.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-analyses/V1_REQUIREMENTS_AUDIT.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-analyses/V1_REVIEW_ANALYSIS.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-misc/ARCHITECTURE_ENFORCEMENT_GUIDE.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-misc/ARCHITECTURE_MIGRATION_GUIDE.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-misc/DB_SCHEMA_EXPORT_GUIDE.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-misc/MCP_SERVERS_FIX_GUIDE.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-misc/MCP_SERVERS_REVIEW.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-misc/MIGRATION_EXECUTION_GUIDE.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-misc/MIGRATION_REQUIRED_FOR_TESTS.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-misc/N8N_WORKFLOW_VALIDATION.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-misc/TESTING_DATA_SETUP.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-misc/WORKFLOW_FIX_AUDIT_AUTOFIX.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-plans/CURSOR_BUILD_PLAN.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-plans/CURSOR_COMMAND.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-plans/CURSOR_FIRST_COMMAND.txt,txt,Archive,keep_archived,,already archived history
docs/_archive/old-plans/FINAL_STATUS.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-plans/FIXES_SUMMARY.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-plans/IMPLEMENTATION_ACTION_PLAN.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-plans/IMPLEMENTATION_PLAN.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-plans/NEXT_STEPS.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-plans/NEXT_STEPS_ACTION_PLAN.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-plans/NEXT_STEPS_CURRENT.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-plans/PHASE1_COMPLETE.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-plans/PHASE2_COMPLETE.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-plans/PHASE3_COMPLETE.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-plans/PHASE4_COMPLETE.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-plans/PHASE5_COMPLETE.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-plans/RUNBOOK_EXECUTION_SUMMARY.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-plans/SUMMARY.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-railway/DEPLOYMENT_QUICK_START.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-railway/RAILWAY_BEGINNERS_GUIDE.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-railway/RAILWAY_DEPLOYMENT_FIX.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-railway/RAILWAY_ENVIRONMENTS_GUIDE.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-railway/RAILWAY_HEALTHCHECK_FIX.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-railway/RAILWAY_QUICK_START.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-railway/RAILWAY_SETUP.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-tests/DATABASE_TEST_REPORT.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-tests/DATABASE_TEST_SUMMARY.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-tests/FINAL_WORKER_TEST_STATUS.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-tests/TESTING_STATUS.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-tests/TEST_FIXES_IMPLEMENTED.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-tests/TEST_FIXES_SUMMARY.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-tests/TEST_PASSWORD_HASH_FIX_DIFFS.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-tests/TEST_PASSWORD_HASH_FIX_SUMMARY.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-tests/TEST_RESULTS_SUMMARY.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-tests/TEST_STATUS_SUMMARY.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-tests/V1_HARDENING_TEST_FIXES.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-tests/V1_TESTING_SUMMARY.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-tests/V1_TEST_CHECKLIST.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-tests/V2_TESTING_SUMMARY.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-tests/V4_TESTING_SUMMARY.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-tests/WORKER_DRY_RUN_FINAL_STATUS.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-tests/WORKER_DRY_RUN_ISSUES.md,md,Archive,keep_archived,,already archived history
docs/_archive/old-tests/WORKER_TEST_PROGRESS.md,md,Archive,keep_archived,,already archived history
docs/_future/v5-planning/FUTURE_FEATURES.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/_future/v5-planning/FUTURE_FEATURES.md,legacy docs outside canonical/reference structure
docs/_future/v5-planning/ROADMAP.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/_future/v5-planning/ROADMAP.md,legacy docs outside canonical/reference structure
docs/_future/v5-planning/V5_CAPABILITIES_ANALYSIS.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/_future/v5-planning/V5_CAPABILITIES_ANALYSIS.md,legacy docs outside canonical/reference structure
docs/_md_inventory/md_report.md,md,Archive,archive_legacy_docs,docs/archive/raw/legacy_docs/_md_inventory/md_report.md,legacy docs outside canonical/reference structure
docs/active/00-CRITICAL/ERROR_RECOVERY_CIRCUIT_BREAKERS.md,md,Keep Reference,keep,,tier-2 active reference documentation
docs/active/00-CRITICAL/MONITORING_SETUP.md,md,Keep Reference,keep,,tier-2 active reference documentation
docs/active/00-CRITICAL/PHASE_0_1_STATUS.md,md,Keep Reference,keep,,tier-2 active reference documentation
docs/active/00-CRITICAL/PHASE_10_STATUS.md,md,Keep Reference,keep,,tier-2 active reference documentation
docs/active/00-CRITICAL/PHASE_11_STATUS.md,md,Keep Reference,keep,,tier-2 active reference documentation
docs/active/00-CRITICAL/PHASE_12_STATUS.md,md,Keep Reference,keep,,tier-2 active reference documentation
docs/active/00-CRITICAL/PHASE_13_STATUS.md,md,Keep Reference,keep,,tier-2 active reference documentation
docs/active/00-CRITICAL/PHASE_14_STATUS.md,md,Keep Reference,keep,,tier-2 active reference documentation
docs/active/00-CRITICAL/PHASE_1_USER_RUNBOOK.md,md,Keep Reference,keep,,tier-2 active reference documentation
docs/active/00-CRITICAL/PHASE_2_STATUS.md,md,Keep Reference,keep,,tier-2 active reference documentation
docs/active/00-CRITICAL/PHASE_3_STATUS.md,md,Keep Reference,keep,,tier-2 active reference documentation
docs/active/00-CRITICAL/PHASE_4_STATUS.md,md,Keep Reference,keep,,tier-2 active reference documentation
docs/active/00-CRITICAL/PHASE_5_STATUS.md,md,Keep Reference,keep,,tier-2 active reference documentation
docs/active/00-CRITICAL/PHASE_6_STATUS.md,md,Keep Reference,keep,,tier-2 active reference documentation
docs/active/00-CRITICAL/PHASE_7_STATUS.md,md,Keep Reference,keep,,tier-2 active reference documentation
docs/active/00-CRITICAL/PHASE_8_STATUS.md,md,Keep Reference,keep,,tier-2 active reference documentation
docs/active/00-CRITICAL/PHASE_9_STATUS.md,md,Keep Reference,keep,,tier-2 active reference documentation
docs/active/00-CRITICAL/PRODUCTION_READINESS_ROADMAP.md,md,Keep Reference,keep,,tier-2 active reference documentation
docs/active/00-CRITICAL/SECRET_INVENTORY_TEMPLATE.md,md,Keep Reference,keep,,tier-2 active reference documentation
docs/active/00-CRITICAL/SECURITY_AUDIT_SUMMARY.md,md,Keep Reference,keep,,tier-2 active reference documentation
docs/active/00-CRITICAL/SECURITY_GUARDRAILS.md,md,Keep Reference,keep,,tier-2 active reference documentation
docs/active/00-CRITICAL/SECURITY_INCIDENT_RESPONSE.md,md,Keep Reference,keep,,tier-2 active reference documentation
docs/active/01-HIGH/DATABASE_RECOVERY.md,md,Keep Reference,keep,,tier-2 active reference documentation
docs/active/01-HIGH/GDPR_COMPLIANCE.md,md,Keep Reference,keep,,tier-2 active reference documentation
docs/active/01-HIGH/RATE_LIMITING.md,md,Keep Reference,keep,,tier-2 active reference documentation
docs/active/02-MEDIUM/ADDRESS_REMAINING_GAPS.md,md,Keep Reference,keep,,tier-2 active reference documentation
docs/active/02-MEDIUM/ARCHITECTURE.md,md,Keep Reference,keep,,tier-2 active reference documentation
docs/active/02-MEDIUM/COMPREHENSIVE_GAP_ANALYSIS.md,md,Keep Reference,keep,,tier-2 active reference documentation
docs/active/02-MEDIUM/CRON_JOBS_AND_NOTIFICATIONS.md,md,Keep Reference,keep,,tier-2 active reference documentation
docs/active/02-MEDIUM/GAP_COMPLETION_ROADMAP.md,md,Keep Reference,keep,,tier-2 active reference documentation
docs/active/02-MEDIUM/N8N_EVENT_ROUTER.md,md,Keep Reference,keep,,tier-2 active reference documentation
docs/active/02-MEDIUM/PERFORMANCE_TESTING.md,md,Keep Reference,keep,,tier-2 active reference documentation
docs/active/02-MEDIUM/REMAINING_ISSUES_STEPS.md,md,Keep Reference,keep,,tier-2 active reference documentation
